train_loss,train_accuracy,val_loss,val_accuracy
3.572137027083386,0.2100843736258367,3.4842743150872306,0.22691773324351633
3.3051737610116203,0.24493544486246152,3.410905319378006,0.23685900134725496
3.1838321715845246,0.263520239898373,3.3940891554637482,0.23963508336140116
3.0817851086019763,0.2792429581765769,3.391367358123867,0.241308626641967
2.98834358517645,0.29512523208091074,3.4102355917522345,0.2411612706298417
2.900618863529795,0.30985931621634827,3.4551194796220104,0.23905092202761874
2.8181964739652585,0.32466287194019644,3.488466954865653,0.23616958571909735
2.741192352616246,0.3389442456148923,3.5322348803693333,0.236188005220613
2.6692680764886756,0.35249044193091317,3.5952904660840677,0.23265935500168408
2.6025427454712045,0.36538085698929984,3.6297455928509548,0.22983590855506905
2.53935015495704,0.37809186739629647,3.7000016254702577,0.22662828393398451
2.481172071085914,0.3894920787120731,3.741843372733957,0.22473896934994947
2.4265672846264943,0.40104497483754337,3.8092996406812145,0.2218313194678343
2.37527999912527,0.41140158547906386,3.880409330139661,0.21738169417312225
2.3273684363538276,0.42164291908926566,3.9263163554463656,0.216134430784776
2.2819201279648724,0.43138650021986613,3.992977536539712,0.21362411586392724
2.2394150040230882,0.44065523159231934,4.0555009160550926,0.2117479580666891
2.19943781032894,0.4489009747398251,4.1150764922735945,0.20784828646008757
2.160836224744216,0.457973506131822,4.1862709505383755,0.20443804732233076
2.1248338584610544,0.46532451629452287,4.241360642685959,0.20470381441562815
2.090397127309402,0.47361606488493674,4.288832923947621,0.20378547069720446
2.0574431170900955,0.48058536302340354,4.37277315681974,0.20216981727854497
2.0264068674946842,0.48781040821810717,4.428308484087732,0.1981806795217245
1.9964937438436914,0.49414072042800605,4.494843606516825,0.1959124494779387
1.9679024246538448,0.5009313773391313,4.562125176522579,0.19609401313573593
1.9400866391773293,0.5069944911320663,4.630901155185924,0.1924048501178848
1.913858138554469,0.5134400803732838,4.695727899725809,0.1897682300437858
1.8883963590048727,0.5190512471295256,4.75571034094347,0.18957087824183227
1.8639840426789582,0.5244440746079054,4.82390272524992,0.1862080035365443
1.8400450653357003,0.5302216678067132,4.877747101990933,0.18922353907039408
