train_loss,train_accuracy,val_loss,val_accuracy
4.198783532173066,0.1428954231201446,4.044476126813455,0.16382830919501515
3.900233767626369,0.1685724275663263,4.026709042241093,0.16682279386998988
3.8333187647975286,0.1751203156300386,4.033795521772442,0.16602022987537893
3.800329503278247,0.1782885254311819,4.04621013514158,0.16496505557426744
3.7792649608087765,0.18010318439439096,4.051774814218012,0.16569394156281575
3.766063794606524,0.18144146675135583,4.063308665831911,0.16580708992926912
3.7588786041520517,0.1822125250403088,4.074711395859839,0.1651939836645335
3.751982169000569,0.18285151096887672,4.083967736129529,0.16378883883462445
3.749556579208691,0.18333475839155713,4.08921638921119,0.16449141124957897
3.7431653703133314,0.1840310011237602,4.093575359153683,0.1653281828898619
3.740510747167929,0.18410963380075243,4.097880211330978,0.1640361864264062
3.7379946546409655,0.1842378890408951,4.103212271727629,0.1632915122937016
3.734753702291089,0.18499138857673328,4.103276525253638,0.16410986443246883
3.7315868034018917,0.18507765549421018,4.105437389244011,0.1635835929605928
3.728060042939084,0.18537157375287047,4.110991840091126,0.16461771640282924
3.7251625326863658,0.18583420872624223,4.112933810289639,0.16414670343550017
3.7274750944935198,0.18575862974544388,4.114263878361711,0.16358622431795217
3.7263310790941446,0.1856280842331558,4.119464374785071,0.16310468592118557
3.7224563372270874,0.18626248961743294,4.121517563837873,0.1623310668575278
3.7224332743911384,0.1863166927248742,4.120974589895825,0.16287312647356011
3.721842856926009,0.18631516587677724,4.123005094251957,0.1619837276860896
3.7191091221579997,0.1865953425025651,4.125302107657757,0.16322572835971708
3.7203932457549866,0.18617087873161675,4.121917642861273,0.16181795217244863
3.718156996764406,0.1864151744271266,4.123060437475804,0.16334413944088919
3.7168615915432004,0.18636249816778228,4.126293075169004,0.16421248736948468
3.7168373824994774,0.18713126618458983,4.129905008795928,0.16353096581340518
3.7164452154588505,0.18665488957834564,4.1291591408036705,0.16363358875042103
3.716706255542671,0.18671290980602923,4.128288307869302,0.1641151271471876
3.715652605048282,0.18676329579322812,4.128030902129225,0.16285733832940383
3.7155592394147705,0.18660832071138905,4.130638379527086,0.16237579993263726
